Wed Jan 13 16:48:24 2021 [R] : 0.3950782855918758, [LC] : 0, [DC] : -0.18470958371656065
Wed Jan 13 16:48:24 2021 [R] : 0.3904162076895433, [LC] : 0, [DC] : -0.12385954612446781
Wed Jan 13 16:48:26 2021 [R] : 0.41335519039018326, [LC] : 0, [DC] : -0.011097334744177845
Wed Jan 13 16:48:28 2021 [R] : 0.4290558720373062, [LC] : 0, [DC] : -0.1049541054473968
Wed Jan 13 16:48:46 2021 [R] : 0.3878953741253983, [LC] : 0, [DC] : -0.04428759153891093
Wed Jan 13 16:55:01 2021 [R] : 0.41421568952996407, [LC] : 0, [DC] : -0.03024438373889815
Wed Jan 13 16:55:05 2021 [R] : 0.3935217294750597, [LC] : 0, [DC] : -0.058112801966724525
Wed Jan 13 16:55:06 2021 [R] : 0.39717518088152404, [LC] : 0, [DC] : -0.03896429397084833
Wed Jan 13 16:55:07 2021 [R] : 0.38577793412190975, [LC] : 0, [DC] : -0.08427403688583612
Wed Jan 13 16:55:13 2021 [R] : 0.4096179734849788, [LC] : 0, [DC] : -0.004062371556583511
Wed Jan 13 16:55:14 2021 [R] : 0.5286485725369228, [LC] : 0, [DC] : -1.4042621928886132
Wed Jan 13 16:55:14 2021 [R] : 0.5100515125496302, [LC] : 0, [DC] : -5.322535485734623
Wed Jan 13 16:55:14 2021 [R] : 0.44217564594893133, [LC] : 0, [DC] : -21.262915574705374
Wed Jan 13 16:55:14 2021 [R] : 0.5208566784482652, [LC] : 0, [DC] : -2.593559332307702
Wed Jan 13 16:55:14 2021 [R] : 0.5077198289592798, [LC] : 0, [DC] : -6.128781062733408
Wed Jan 13 16:55:28 2021 [R] : 0.39397135585082405, [LC] : 0, [DC] : -0.032765201735321714
Wed Jan 13 16:55:30 2021 [R] : 0.38587080733464607, [LC] : 0, [DC] : -0.005166822606619714
Wed Jan 13 16:55:49 2021 [R] : 0.3932813668222925, [LC] : 0, [DC] : -0.10758270348303789
Wed Jan 13 16:55:58 2021 [R] : 0.42237098411281654, [LC] : 0, [DC] : -0.05156327995809362
Wed Jan 13 16:56:44 2021 [R] : 0.42483860431010384, [LC] : 0, [DC] : -0.04518306963571517
Wed Jan 13 16:57:12 2021 [R] : 0.5102259461124197, [LC] : 0, [DC] : -5.242191284496432
